generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
5,0.25,10.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,10.0,1.0,5.477225575051661,2.1602315269930727e-08,True
15,0.25,10.0,1.0,6.7082039324993685,9.851675031313789e-12,True
20,0.25,10.0,1.0,7.745966692414833,4.6629367034256575e-15,True
25,0.25,10.0,1.0,8.660254037844386,0.0,True
30,0.25,10.0,1.0,9.486832980505138,0.0,True
35,0.25,10.0,1.0,10.246950765959598,0.0,True
40,0.25,10.0,1.0,10.954451150103322,0.0,True
45,0.25,10.0,1.0,11.618950038622252,0.0,True
50,0.25,10.0,1.0,12.24744871391589,0.0,True
55,0.25,10.0,1.0,12.84523257866513,0.0,True
60,0.25,10.0,1.0,13.416407864998737,0.0,True
65,0.25,10.0,1.0,13.964240043768942,0.0,True
70,0.25,10.0,1.0,14.49137674618944,0.0,True
75,0.25,10.0,1.0,15.0,0.0,True
80,0.25,10.0,1.0,15.491933384829666,0.0,True
85,0.25,10.0,1.0,15.968719422671313,0.0,True
90,0.25,10.0,1.0,16.431676725154983,0.0,True
95,0.25,10.0,1.0,16.88194301613413,0.0,True
100,0.25,10.0,1.0,17.32050807568877,0.0,True
105,0.25,10.0,1.0,17.748239349298846,0.0,True
110,0.25,10.0,1.0,18.16590212458495,0.0,True
115,0.25,10.0,1.0,18.57417562100671,0.0,True
120,0.25,10.0,1.0,18.973665961010276,0.0,True
125,0.25,10.0,1.0,19.364916731037084,0.0,True
130,0.25,10.0,1.0,19.7484176581315,0.0,True
135,0.25,10.0,1.0,20.124611797498105,0.0,True
140,0.25,10.0,1.0,20.493901531919196,0.0,True
145,0.25,10.0,1.0,20.85665361461421,0.0,True
150,0.25,10.0,1.0,21.213203435596427,0.0,True
155,0.25,10.0,1.0,21.563858652847827,0.0,True
160,0.25,10.0,1.0,21.908902300206645,0.0,True
165,0.25,10.0,1.0,22.24859546128699,0.0,True
170,0.25,10.0,1.0,22.583179581272432,0.0,True
175,0.25,10.0,1.0,22.912878474779202,0.0,True
180,0.25,10.0,1.0,23.237900077244504,0.0,True
185,0.25,10.0,1.0,23.55843797877949,0.0,True
190,0.25,10.0,1.0,23.874672772626642,0.0,True
195,0.25,10.0,1.0,24.18677324489565,0.0,True
200,0.25,10.0,1.0,24.49489742783178,0.0,True
205,0.25,10.0,1.0,24.799193535274487,0.0,True
210,0.25,10.0,1.0,25.09980079602227,0.0,True
5,0.25,10.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,10.0,1.0,5.477225575051661,2.1602315269930727e-08,True
15,0.25,10.0,1.0,6.7082039324993685,9.851675031313789e-12,True
20,0.25,10.0,1.0,7.745966692414833,4.6629367034256575e-15,True
25,0.25,10.0,1.0,8.660254037844386,0.0,True
30,0.25,10.0,1.0,9.486832980505138,0.0,True
35,0.25,10.0,1.0,10.246950765959598,0.0,True
40,0.25,10.0,1.0,10.954451150103322,0.0,True
45,0.25,10.0,1.0,11.618950038622252,0.0,True
50,0.25,10.0,1.0,12.24744871391589,0.0,True
55,0.25,10.0,1.0,12.84523257866513,0.0,True
60,0.25,10.0,1.0,13.416407864998737,0.0,True
65,0.25,10.0,1.0,13.964240043768942,0.0,True
70,0.25,10.0,1.0,14.49137674618944,0.0,True
75,0.25,10.0,0.9866666666666667,14.733333333333333,0.0,True
80,0.25,10.0,0.9875,15.233734495082507,0.0,True
85,0.25,10.0,0.9882352941176471,15.718229706237253,0.0,True
90,0.25,10.0,0.9888888888888889,16.18824447737491,0.0,True
95,0.25,10.0,0.9894736842105263,16.645003465030495,0.0,True
100,0.25,10.0,0.99,17.089567968012922,0.0,True
105,0.25,10.0,0.9904761904761905,17.52286488137124,0.0,True
110,0.25,10.0,0.990909090909091,17.94570937155968,0.0,True
115,0.25,10.0,0.991304347826087,18.358822860183444,0.0,True
120,0.25,10.0,0.9916666666666667,18.762847450332384,0.0,True
125,0.25,10.0,0.992,19.158357619239357,0.0,True
130,0.25,10.0,0.9923076923076923,19.545869784714768,0.0,True
135,0.25,10.0,0.9925925925925926,19.925850199498125,0.0,True
140,0.25,10.0,0.9928571428571429,20.29872151732949,0.0,True
145,0.25,10.0,0.993103448275862,20.664868294020057,0.0,True
150,0.25,10.0,0.9933333333333333,21.024641627280012,0.0,True
155,0.25,10.0,0.9935483870967742,21.378363094543758,0.0,True
160,0.25,10.0,0.99375,21.72632811437159,0.0,True
165,0.25,10.0,0.9939393939393939,22.068808831296792,0.0,True
170,0.25,10.0,0.9941176470588236,22.406056604164412,0.0,True
175,0.25,10.0,0.9942857142857143,22.738304162590406,0.0,True
180,0.25,10.0,0.9944444444444445,23.06576748407973,0.0,True
185,0.25,10.0,0.9945945945945946,23.38864743478829,0.0,True
190,0.25,10.0,0.9947368421052631,23.707131209309964,0.0,True
195,0.25,10.0,0.9948717948717949,24.021393598776704,0.0,True
200,0.25,10.0,0.995,24.331598111646237,0.0,True
205,0.25,10.0,0.9951219512195122,24.637897967565387,0.0,True
210,0.25,10.0,0.9952380952380953,24.94043698144435,0.0,True
5,0.25,10.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,10.0,1.0,5.477225575051661,2.1602315269930727e-08,True
15,0.25,10.0,1.0,6.7082039324993685,9.851675031313789e-12,True
20,0.25,10.0,1.0,7.745966692414833,4.6629367034256575e-15,True
25,0.25,10.0,1.0,8.660254037844386,0.0,True
30,0.25,10.0,1.0,9.486832980505138,0.0,True
35,0.25,10.0,1.0,10.246950765959598,0.0,True
40,0.25,10.0,1.0,10.954451150103322,0.0,True
45,0.25,10.0,1.0,11.618950038622252,0.0,True
50,0.25,10.0,1.0,12.24744871391589,0.0,True
55,0.25,10.0,1.0,12.84523257866513,0.0,True
60,0.25,10.0,1.0,13.416407864998737,0.0,True
65,0.25,10.0,1.0,13.964240043768942,0.0,True
70,0.25,10.0,1.0,14.49137674618944,0.0,True
75,0.25,10.0,1.0,15.0,0.0,True
80,0.25,10.0,1.0,15.491933384829666,0.0,True
85,0.25,10.0,1.0,15.968719422671313,0.0,True
90,0.25,10.0,1.0,16.431676725154983,0.0,True
95,0.25,10.0,1.0,16.88194301613413,0.0,True
100,0.25,10.0,1.0,17.32050807568877,0.0,True
105,0.25,10.0,1.0,17.748239349298846,0.0,True
110,0.25,10.0,1.0,18.16590212458495,0.0,True
115,0.25,10.0,1.0,18.57417562100671,0.0,True
120,0.25,10.0,1.0,18.973665961010276,0.0,True
125,0.25,10.0,1.0,19.364916731037084,0.0,True
130,0.25,10.0,1.0,19.7484176581315,0.0,True
135,0.25,10.0,1.0,20.124611797498105,0.0,True
140,0.25,10.0,1.0,20.493901531919196,0.0,True
145,0.25,10.0,1.0,20.85665361461421,0.0,True
150,0.25,10.0,1.0,21.213203435596427,0.0,True
155,0.25,10.0,1.0,21.563858652847827,0.0,True
160,0.25,10.0,1.0,21.908902300206645,0.0,True
165,0.25,10.0,1.0,22.24859546128699,0.0,True
170,0.25,10.0,1.0,22.583179581272432,0.0,True
175,0.25,10.0,1.0,22.912878474779202,0.0,True
180,0.25,10.0,1.0,23.237900077244504,0.0,True
185,0.25,10.0,1.0,23.55843797877949,0.0,True
190,0.25,10.0,1.0,23.874672772626642,0.0,True
195,0.25,10.0,1.0,24.18677324489565,0.0,True
200,0.25,10.0,1.0,24.49489742783178,0.0,True
205,0.25,10.0,1.0,24.799193535274487,0.0,True
210,0.25,10.0,1.0,25.09980079602227,0.0,True
5,0.25,10.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,10.0,1.0,5.477225575051661,2.1602315269930727e-08,True
15,0.25,10.0,1.0,6.7082039324993685,9.851675031313789e-12,True
20,0.25,10.0,1.0,7.745966692414833,4.6629367034256575e-15,True
25,0.25,10.0,1.0,8.660254037844386,0.0,True
30,0.25,10.0,1.0,9.486832980505138,0.0,True
35,0.25,10.0,1.0,10.246950765959598,0.0,True
40,0.25,10.0,1.0,10.954451150103322,0.0,True
45,0.25,10.0,1.0,11.618950038622252,0.0,True
50,0.25,10.0,1.0,12.24744871391589,0.0,True
55,0.25,10.0,1.0,12.84523257866513,0.0,True
60,0.25,10.0,1.0,13.416407864998737,0.0,True
65,0.25,10.0,1.0,13.964240043768942,0.0,True
70,0.25,10.0,1.0,14.49137674618944,0.0,True
75,0.25,10.0,1.0,15.0,0.0,True
80,0.25,10.0,1.0,15.491933384829666,0.0,True
85,0.25,10.0,1.0,15.968719422671313,0.0,True
90,0.25,10.0,1.0,16.431676725154983,0.0,True
95,0.25,10.0,1.0,16.88194301613413,0.0,True
100,0.25,10.0,1.0,17.32050807568877,0.0,True
105,0.25,10.0,1.0,17.748239349298846,0.0,True
110,0.25,10.0,1.0,18.16590212458495,0.0,True
115,0.25,10.0,1.0,18.57417562100671,0.0,True
120,0.25,10.0,1.0,18.973665961010276,0.0,True
125,0.25,10.0,1.0,19.364916731037084,0.0,True
130,0.25,10.0,1.0,19.7484176581315,0.0,True
135,0.25,10.0,1.0,20.124611797498105,0.0,True
140,0.25,10.0,1.0,20.493901531919196,0.0,True
145,0.25,10.0,1.0,20.85665361461421,0.0,True
150,0.25,10.0,1.0,21.213203435596427,0.0,True
155,0.25,10.0,1.0,21.563858652847827,0.0,True
160,0.25,10.0,1.0,21.908902300206645,0.0,True
165,0.25,10.0,1.0,22.24859546128699,0.0,True
170,0.25,10.0,1.0,22.583179581272432,0.0,True
175,0.25,10.0,1.0,22.912878474779202,0.0,True
180,0.25,10.0,1.0,23.237900077244504,0.0,True
185,0.25,10.0,1.0,23.55843797877949,0.0,True
190,0.25,10.0,1.0,23.874672772626642,0.0,True
195,0.25,10.0,1.0,24.18677324489565,0.0,True
200,0.25,10.0,1.0,24.49489742783178,0.0,True
205,0.25,10.0,1.0,24.799193535274487,0.0,True
210,0.25,10.0,1.0,25.09980079602227,0.0,True
5,0.25,10.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,10.0,1.0,5.477225575051661,2.1602315269930727e-08,True
15,0.25,10.0,1.0,6.7082039324993685,9.851675031313789e-12,True
20,0.25,10.0,1.0,7.745966692414833,4.6629367034256575e-15,True
25,0.25,10.0,1.0,8.660254037844386,0.0,True
30,0.25,10.0,1.0,9.486832980505138,0.0,True
35,0.25,10.0,1.0,10.246950765959598,0.0,True
40,0.25,10.0,1.0,10.954451150103322,0.0,True
45,0.25,10.0,1.0,11.618950038622252,0.0,True
50,0.25,10.0,1.0,12.24744871391589,0.0,True
55,0.25,10.0,1.0,12.84523257866513,0.0,True
60,0.25,10.0,1.0,13.416407864998737,0.0,True
65,0.25,10.0,1.0,13.964240043768942,0.0,True
